,position_timestamp,mmsi,latitude,longitude,prev_pos_latitude,prev_pos_longitude,bearing_since_prev_pos_deg,distance_since_prev_pos_m,prev_pos_position_timestamp,time_since_prev_pos_s,speed_since_prev_pos_kn,prev_speed_since_prev_pos_kn,acceleration_kn_s,speed_reference_kn,no_of_cleaned_positions_since_prev_pos,type,params,execution_time
21,2023-01-03 13:31:22,220614000,57.6802,11.6951,57.6803,11.6953,226.97285015216977,16.321926174377168,2023-01-03 13:00:05,1877.0,0.01690318929146788,0.8709466085568988,-0.00045500448549037344,20,0,Down-sampling,1800.0,0.029000043869018555
22,2023-01-03 14:00:06,220614000,57.68,11.6946,57.6802,11.6951,233.25077043847512,37.22843740251134,2023-01-03 13:31:22,1724.0,0.04197580800872475,0.01690318929146788,1.4543282318594475e-05,20,0,Down-sampling,1800.0,0.029000043869018555
23,2023-01-03 14:31:25,220614000,57.68,11.6946,57.68,11.6946,180.0,0.0,2023-01-03 14:00:06,1879.0,0.0,0.04197580800872475,-2.233944013237081e-05,20,0,Down-sampling,1800.0,0.029000043869018555
24,2023-01-03 15:00:04,220614000,57.6801,11.6948,57.68,11.6946,46.97283943641133,16.321973965626693,2023-01-03 14:31:25,1719.0,0.018456881442025817,0.0,1.0736987459002802e-05,20,0,Down-sampling,1800.0,0.029000043869018555
25,2023-01-03 15:30:04,220614000,57.6801,11.6948,57.6801,11.6948,180.0,0.0,2023-01-03 15:00:04,1800.0,0.0,0.018456881442025817,-1.0253823023347677e-05,20,0,Down-sampling,1800.0,0.029000043869018555
26,2023-01-03 16:06:05,220614000,57.6801,11.6947,57.6801,11.6948,270.0000422538095,5.965928958905955,2023-01-03 15:30:04,2161.0,0.005366422095817331,0.0,2.4833049957507313e-06,20,0,Down-sampling,1800.0,0.029000043869018555
27,2023-01-03 16:30:05,220614000,57.6802,11.6949,57.6801,11.6947,46.972760290902905,16.321950068410935,2023-01-03 16:06:05,1440.0,0.02203286996275774,0.005366422095817331,1.1573922129819728e-05,20,0,Down-sampling,1800.0,0.029000043869018555
28,2023-01-03 17:00:05,220614000,57.6802,11.6945,57.6802,11.6949,270.0001690154248,23.863650128602647,2023-01-03 16:30:05,1800.0,0.0257706804844521,0.02203286996275774,2.0765614009413106e-06,20,0,Down-sampling,1800.0,0.029000043869018555
29,2023-01-03 17:30:05,220614000,57.6802,11.6945,57.6802,11.6945,180.0,0.0,2023-01-03 17:00:05,1800.0,0.0,0.0257706804844521,-1.43170447135845e-05,20,0,Down-sampling,1800.0,0.029000043869018555
30,2023-01-03 18:00:04,220614000,57.6805,11.6953,57.6802,11.6945,55.005524964360816,58.2598606176677,2023-01-03 17:30:05,1799.0,0.06295058876709875,0.0,3.499198930911548e-05,20,0,Down-sampling,1800.0,0.029000043869018555
31,2023-01-03 18:30:05,220614000,57.6813,11.695,57.6805,11.6953,348.6420518998918,90.87739086832735,2023-01-03 18:00:04,1801.0,0.09808523915978358,0.06295058876709875,1.9508412211374142e-05,20,0,Down-sampling,1800.0,0.029000043869018555
32,2023-01-03 19:00:05,220614000,57.6814,11.6923,57.6813,11.695,273.95645664834166,161.45910937692761,2023-01-03 18:30:05,1800.0,0.17436188917594775,0.09808523915978358,4.237591667564676e-05,20,0,Down-sampling,1800.0,0.029000043869018555
33,2023-01-03 19:30:05,220614000,57.6626,11.6889,57.6814,11.6923,185.53607706223823,2103.5976166432865,2023-01-03 19:00:05,1800.0,2.271703689679575,0.17436188917594775,0.0011651898891686817,20,1,Down-sampling,1800.0,0.029000043869018555
34,2023-01-03 20:00:02,220614000,57.5851,11.642,57.6626,11.6889,198.00713102669334,9074.782997778619,2023-01-03 19:30:05,1797.0,9.816342209418814,2.271703689679575,0.004198463283104752,20,0,Down-sampling,1800.0,0.029000043869018555
35,2023-01-03 20:30:01,220614000,57.5085,11.6109,57.5851,11.642,192.3270267207278,8731.798408452814,2023-01-03 20:00:02,1799.0,9.434829486032596,9.816342209418814,-0.00021206932928639102,20,0,Down-sampling,1800.0,0.029000043869018555
36,2023-01-03 21:00:02,220614000,57.4274,11.6498,57.5085,11.6109,165.49274538259507,9328.732303593337,2023-01-03 20:30:01,1801.0,10.06863126584823,9.434829486032596,0.0003519165906805299,20,0,Down-sampling,1800.0,0.029000043869018555
37,2023-01-03 21:30:11,220614000,57.3464,11.683,57.4274,11.6498,167.50533581118137,9239.037635599869,2023-01-03 21:00:02,1809.0,9.927723838259961,10.06863126584823,-7.78924420056767e-05,20,1,Down-sampling,1800.0,0.029000043869018555
38,2023-01-03 22:00:02,220614000,57.2854,11.7617,57.3464,11.683,145.0492734671901,8284.74880001558,2023-01-03 21:30:11,1791.0,8.991771818070461,9.927723838259961,-0.0005225862759293692,20,0,Down-sampling,1800.0,0.029000043869018555
39,2023-01-03 22:30:01,220614000,57.2288,11.8599,57.2854,11.7617,136.72254598710728,8651.902745743375,2023-01-03 22:00:02,1799.0,9.348501112531965,8.991771818070461,0.00019829310420317047,20,0,Down-sampling,1800.0,0.029000043869018555
40,2023-01-03 23:00:02,220614000,57.1544,11.9059,57.2288,11.8599,161.42550805499883,8739.740619427386,2023-01-03 22:30:01,1801.0,9.432924302295037,9.348501112531965,4.6875730018363164e-05,20,0,Down-sampling,1800.0,0.029000043869018555
41,2023-01-03 23:30:01,220614000,57.0788,11.953,57.1544,11.9059,161.25732796354777,8889.370653203592,2023-01-03 23:00:02,1799.0,9.605088485543604,9.432924302295037,9.569993510203834e-05,20,0,Down-sampling,1800.0,0.029000043869018555
42,2023-01-03 23:59:51,220614000,57.0035,11.9948,57.0788,11.953,163.14643082696526,8760.970349062078,2023-01-03 23:30:01,1790.0,9.513946347184223,9.605088485543604,-5.091739573149746e-05,20,0,Down-sampling,1800.0,0.029000043869018555
